name,salary,area_name,published_at
Технический консультант.,6100.72,Санкт-Петербург,2003-09-19T14:42:13+0400
Broadcast encryption engineer,31784.4,Южная Корея,2003-01-31T18:24:11+0300
Embedded OS engineering manager,31784.4,Москва,2003-01-31T18:25:43+0300
Начальник Управления автоматизации крупного банка (ТОР-30),61007.2,Москва,2003-09-09T00:00:00+0400
Специалист (настройщик) модуля BASIS SAP R/3,45921.3,Москва,2003-10-06T00:00:00+0400
Менеджер по продвижению программных продуктов,15690.05,Москва,2003-04-01T18:28:37+0400
Технический писатель,4707.015,Москва,2003-04-01T18:35:22+0400
Key account manager (продажа компьютерного оборудования),22877.7,Москва,2003-09-19T00:00:00+0400
Системный инженер,18368.52,Москва,2003-10-06T00:00:00+0400
"Project manager (ERP, SCM)",30503.6,Москва,2003-09-05T00:00:00+0400
Бизнес-аналитик,18661.26,Москва,2003-05-14T16:18:16+0400
Аccount manager,45755.4,Москва,2003-09-10T00:00:00+0400
Менеджер по работе с клиентами,29945.1,Москва,2003-11-24T00:00:00+0300
Корреспондент-редактор медицинского интернет-портала,12201.44,Москва,2003-09-21T00:00:00+0400
Редактор медицинского портала,14869.35,Москва,2003-12-11T00:00:00+0300
Технический писатель,11978.04,Москва,2003-11-19T00:00:00+0300
Продакт-менеджер,76535.5,Москва,2003-10-21T00:00:00+0400
Руководитель представительства,16820.04,Челябинск,2003-08-28T00:00:00+0400
Sales representative,15251.8,Москва,2003-09-06T00:00:00+0400
Специалист по оптимизации товарных запасов,24567.2,Москва,2003-06-11T19:11:29+0400
Сервис-менеджер,12283.6,Москва,2003-06-18T17:38:56+0400
Менеджер по закупкам,15354.5,Москва,2003-06-19T12:41:24+0400
Sales manager,15354.5,Москва,2003-06-19T14:37:30+0400
Сервис-инженер.,5298.8425,Санкт-Петербург,2003-08-19T00:00:00+0400
Программист группы внедрения,22960.65,Москва,2003-10-13T00:00:00+0400
Программист 1С,19681.415,Москва,2003-08-22T00:00:00+0400
Cпециалист в отдел внедрения,18302.16,Москва,2003-09-25T00:00:00+0400
Менеджер по продажам телекоммуникационного оборудования,37976.125,Москва,2003-07-09T12:23:21+0400
Key Account Manager,37848.875,Москва,2003-08-20T00:00:00+0400
Продакт менеджер по серверному оборудованию,22877.7,Москва,2003-09-30T00:00:00+0400
Sales engineer/technical pre-sale,38129.5,Москва,2003-09-30T00:00:00+0400
Консультант по внедрению (Oracle E-Business Suite),30614.2,Москва,2003-10-27T00:00:00+0300
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",15190.45,Москва,2003-07-16T18:31:53+0400
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",15190.45,Москва,2003-07-17T11:25:13+0400
Системный администратор,12152.36,Москва,2003-07-17T15:47:04+0400
Специалист отдела труда и заработной платы.,18368.52,Москва,2003-10-06T00:00:00+0400
Продукт-менеджер по промышленным компьютерам,22785.675,Санкт-Петербург,2003-07-18T12:27:41+0400
Financial systems support specialist (IT Specialist),44052.305,Москва,2003-07-18T16:38:26+0400
Менеджер в отдел сувенирной продукции,7595.225,Москва,2003-07-18T18:59:15+0400
"Менеджер по работе с партнерами, вендорами",15251.8,Москва,2003-09-15T00:00:00+0400
Системный администратор,15251.8,Москва,2003-09-17T00:00:00+0400
Системный администратор,12201.44,Москва,2003-09-17T00:00:00+0400
Sales Consultant,12152.36,Москва,2003-07-21T17:04:03+0400
IT - АДМИНИСТРАТОР СИСТЕМЫ ТОВАРНОГО УЧЕТА,13776.39,Москва,2003-10-06T00:00:00+0400
Администратор (OEBS),15190.45,Москва,2003-07-23T14:44:49+0400
Telecommunication Analyst,25737.235,Москва,2003-08-20T00:00:00+0400
Web Content Manager,13776.39,Москва,2003-10-07T00:00:00+0400
Программист-разработчик на Access в крупную компьютерную компанию.,10597.685,Москва,2003-08-20T00:00:00+0400
Менеджер по региональным продажам в дилерский отдел компании-дистрибутора компьютерной техники.,15307.1,Москва,2003-10-07T00:00:00+0400
Старший ПРОДАКТ МЕНЕДЖЕР по продукции Maxtor,61228.4,Москва,2003-10-07T00:00:00+0400
Менеджер Интернет проектов,22960.65,Москва,2003-10-07T00:00:00+0400
Системный администратор,15139.55,Москва,2003-08-25T00:00:00+0400
ИТ специалист (SAP R/3),45418.65,Москва,2003-08-26T00:00:00+0400
Администратор баз данных SAP R/3,30279.1,Москва,2003-08-26T00:00:00+0400
Менеджер по продажам проектов,30380.9,Санкт-Петербург,2003-07-29T12:17:44+0400
"Архитектор (VB, ASP)",10597.685,Санкт-Петербург,2003-08-27T00:00:00+0400
Администратор финансовых информационных систем и Oracle,22960.65,Москва,2003-10-06T00:00:00+0400
Supply Business Process Development Coordinator,19064.75,Москва,2003-09-19T00:00:00+0400
Заместитель начальника отдела закупок,75697.75,Москва,2003-08-25T00:00:00+0400
Программист Visual C++,7569.775,Санкт-Петербург,2003-08-25T00:00:00+0400
Инженер-конструктор,7569.775,Санкт-Петербург,2003-08-25T00:00:00+0400
Менеджер по маркетингу,10597.685,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по развитию бизнеса.,30503.6,Москва,2003-09-26T00:00:00+0400
Technical Consultant (telecom sphere),45755.4,Москва,2003-09-01T00:00:00+0400
Функциональный консультант,30503.6,Москва,2003-09-01T00:00:00+0400
C Developer.,19827.34,Москва,2003-09-01T00:00:00+0400
SAP R/3 (SD module) Консультант,45755.4,Москва,2003-09-01T00:00:00+0400
Team Leader,22877.7,Санкт-Петербург,2003-09-01T00:00:00+0400
С/C++ разработчика под Linux,18302.16,Санкт-Петербург,2003-09-01T00:00:00+0400
PMA-2 Администратор проектов,24402.88,Москва,2003-09-22T00:00:00+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,19681.415,Москва,2003-08-26T00:00:00+0400
Маркетолог,24402.88,Москва,2003-09-30T00:00:00+0400
Разработчик компиляторов,15139.55,Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов,18167.46,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,50834.2494,Москва,2003-09-03T00:00:00+0400
Руководитель проекта внедрения (Oracle EBS),38267.75,Москва,2003-10-27T00:00:00+0300
Менеджер по продажам IT проектов,75697.75,Москва,2003-08-29T00:00:00+0400
Менеджер по работе с клиентами,75697.75,Москва,2003-08-29T00:00:00+0400
Инженер группы внедрения программных продуктов,11152.0125,Санкт-Петербург,2003-12-01T00:00:00+0300
Service Project Manager,26022.07,Москва,2003-10-07T00:00:00+0400
Специалист по SAP R/3,30279.1,Москва,2003-08-14T17:40:03+0400
Специалист по поддержке банковских приложений,37848.875,Москва,2003-08-15T11:37:41+0400
IT - директор (CIO),53381.3,Москва,2003-09-10T00:00:00+0400
Руководитель отдела маркетинга,37848.875,Москва,2003-08-15T13:05:04+0400
Sales Director,75697.75,Москва,2003-08-15T15:01:10+0400
Системный аналитик,22709.325,Москва,2003-08-15T18:20:06+0400
Менеджер по IT и системному интегрированию,45755.4,Москва,2003-09-05T00:00:00+0400
Business Application Specialist,21952.3475,Москва,2003-08-18T10:15:10+0400
Database Developer/Business analyst,24223.28,Москва,2003-08-18T10:39:13+0400
Developer and Analyst,15139.55,Москва,2003-08-18T10:53:37+0400
Sales Manager,45418.65,Москва,2003-08-18T11:47:53+0400
Системный администратор,6055.82,Москва,2003-08-18T13:30:28+0400
Rational Product Technical Sales,45418.65,Москва,2003-08-18T15:15:55+0400
Product Manager,30279.1,Москва,2003-08-18T15:48:40+0400
ERP - consultant,27251.19,Москва,2003-08-18T17:35:51+0400
Программист,12111.64,Москва,2003-08-18T18:40:13+0400
SNA / IT - manager,19681.415,Москва,2003-08-18T18:44:42+0400
Разработчик биллинговой системы (С++/Oracle),20817.09,Москва,2003-12-02T00:00:00+0300
Telecom Engineer,22709.325,Москва,2003-08-19T11:17:22+0400
Sales Engineer,30279.1,Москва,2003-08-19T13:40:44+0400
